REBID Simulation, MPGM Simulation, Be-Rebid Final Cumulative Signal Strength, MPGM Final  Cumulative Signal Stregnth
R10H10T9DnormalS7A0,R10H10T9DnormalS7A0,50545,50702
R10H10T9DnormalS3A0,R10H10T9DnormalS3A0,51263,51295
R10H10T9DnormalS1A0,R10H10T9DnormalS1A0,51438,51519
R10H10T9DnormalS0A0,R10H10T9DnormalS0A0,49844,49913
R10H10T9DnormalS8A0,R10H10T9DnormalS8A0,51383,51556
R10H10T9DnormalS9A0,R10H10T9DnormalS9A0,50914,50954
R10H20T9DnormalS3A0,R10H20T9DnormalS3A0,99433,99627
R10H20T9DnormalS5A0,R10H20T9DnormalS5A0,99464,99928
R10H20T9DnormalS8A0,R10H20T9DnormalS8A0,100040,100431
R10H20T9DnormalS9A0,R10H20T9DnormalS9A0,102340,102478
R10H30T9DnormalS0A0,R10H30T9DnormalS0A0,148396,148459
R10H30T9DnormalS8A0,R10H30T9DnormalS8A0,146083,146307
R10H40T9DnormalS2A0,R10H40T9DnormalS2A0,195388,195687
R10H40T9DnormalS6A0,R10H40T9DnormalS6A0,198531,199173
R10H40T9DnormalS1A0,R10H40T9DnormalS1A0,195101,195137
R10H40T9DnormalS4A0,R10H40T9DnormalS4A0,197733,198917
R10H40T9DnormalS5A0,R10H40T9DnormalS5A0,197760,198523
R10H50T9DnormalS3A0,R10H50T9DnormalS3A0,246724,246729
R10H50T9DnormalS5A0,R10H50T9DnormalS5A0,248205,249660
R10H60T9DnormalS7A0,R10H60T9DnormalS7A0,295208,295483
R10H60T9DnormalS2A0,R10H60T9DnormalS2A0,295087,295231
R10H60T9DnormalS3A0,R10H60T9DnormalS3A0,297181,298727
R10H70T9DnormalS5A0,R10H70T9DnormalS5A0,346977,348446
R10H80T9DnormalS3A0,R10H80T9DnormalS3A0,401014,401398
R10H100T9DnormalS2A0,R10H100T9DnormalS2A0,495670,496130
R10H100T9DnormalS3A0,R10H100T9DnormalS3A0,500583,504475
R10H100T9DnormalS1A0,R10H100T9DnormalS1A0,492706,495858
R10H100T9DnormalS9A0,R10H100T9DnormalS9A0,498303,498867
R20H10T9DnormalS6A0,R20H10T9DnormalS6A0,212228,212238
R20H10T9DnormalS3A0,R20H10T9DnormalS3A0,214337,214405
R20H10T9DnormalS1A0,R20H10T9DnormalS1A0,213948,213970
R20H10T9DnormalS5A0,R20H10T9DnormalS5A0,211618,211728
R20H10T9DnormalS9A0,R20H10T9DnormalS9A0,216323,216371
R20H20T9DnormalS6A0,R20H20T9DnormalS6A0,409327,409587
R20H20T9DnormalS3A0,R20H20T9DnormalS3A0,406761,410294
R20H20T9DnormalS4A0,R20H20T9DnormalS4A0,407284,407303
R20H30T9DnormalS2A0,R20H30T9DnormalS2A0,609041,609080
R20H30T9DnormalS1A0,R20H30T9DnormalS1A0,612707,612729
R20H30T9DnormalS4A0,R20H30T9DnormalS4A0,604578,604592
R20H30T9DnormalS9A0,R20H30T9DnormalS9A0,614736,614815
R20H40T9DnormalS8A0,R20H40T9DnormalS8A0,803231,804014
R20H50T9DnormalS7A0,R20H50T9DnormalS7A0,1012038,1012541
R20H50T9DnormalS4A0,R20H50T9DnormalS4A0,1004125,1008200
R20H50T9DnormalS8A0,R20H50T9DnormalS8A0,1022317,1023038
R20H50T9DnormalS9A0,R20H50T9DnormalS9A0,993987,994008
R20H60T9DnormalS2A0,R20H60T9DnormalS2A0,1212764,1212779
R20H60T9DnormalS6A0,R20H60T9DnormalS6A0,1214167,1216829
R20H60T9DnormalS8A0,R20H60T9DnormalS8A0,1225477,1225481
R20H70T9DnormalS2A0,R20H70T9DnormalS2A0,1425543,1425813
R20H70T9DnormalS6A0,R20H70T9DnormalS6A0,1418589,1428611
R20H70T9DnormalS5A0,R20H70T9DnormalS5A0,1421919,1421959
R20H70T9DnormalS9A0,R20H70T9DnormalS9A0,1420688,1420737
R20H80T9DnormalS2A0,R20H80T9DnormalS2A0,1611603,1611755
R20H80T9DnormalS4A0,R20H80T9DnormalS4A0,1618011,1618481
R20H80T9DnormalS5A0,R20H80T9DnormalS5A0,1624388,1624720
R20H90T9DnormalS7A0,R20H90T9DnormalS7A0,1823132,1824259
R20H90T9DnormalS2A0,R20H90T9DnormalS2A0,1814910,1814924
R20H90T9DnormalS0A0,R20H90T9DnormalS0A0,1828834,1829267
R20H100T9DnormalS9A0,R20H100T9DnormalS9A0,2036079,2036880
R30H10T9DnormalS2A0,R30H10T9DnormalS2A0,479477,479540
R30H10T9DnormalS6A0,R30H10T9DnormalS6A0,484252,484322
R30H10T9DnormalS3A0,R30H10T9DnormalS3A0,484147,484279
R30H10T9DnormalS1A0,R30H10T9DnormalS1A0,484732,484734
