REBID Simulation, MPGM Simulation, Be-Rebid Final Cumulative Signal Strength, MPGM Final  Cumulative Signal Stregnth,Difference
R10H40T9DnormalS4A0,R10H40T9DnormalS4A0,197733,198917,1184
R10H50T9DnormalS5A0,R10H50T9DnormalS5A0,248205,249660,1455
R10H60T9DnormalS3A0,R10H60T9DnormalS3A0,297181,298727,1546
R10H70T9DnormalS5A0,R10H70T9DnormalS5A0,346977,348446,1469
R10H100T9DnormalS3A0,R10H100T9DnormalS3A0,500583,504475,3892
R10H100T9DnormalS1A0,R10H100T9DnormalS1A0,492706,495858,3152
R20H20T9DnormalS3A0,R20H20T9DnormalS3A0,406761,410294,3533
R20H50T9DnormalS4A0,R20H50T9DnormalS4A0,1004125,1008200,4075
R20H60T9DnormalS6A0,R20H60T9DnormalS6A0,1214167,1216829,2662
R20H70T9DnormalS6A0,R20H70T9DnormalS6A0,1418589,1428611,10022
R20H90T9DnormalS7A0,R20H90T9DnormalS7A0,1823132,1824259,1127
R30H30T9DnormalS9A0,R30H30T9DnormalS9A0,1375959,1377132,1173
R30H50T9DnormalS7A0,R30H50T9DnormalS7A0,2292030,2295387,3357
R30H50T9DnormalS6A0,R30H50T9DnormalS6A0,2303595,2307079,3484
R30H50T9DnormalS5A0,R30H50T9DnormalS5A0,2279885,2282495,2610
R30H60T9DnormalS6A0,R30H60T9DnormalS6A0,2722051,2723563,1512
R30H60T9DnormalS0A0,R30H60T9DnormalS0A0,2724842,2728568,3726
R30H60T9DnormalS8A0,R30H60T9DnormalS8A0,2742329,2749007,6678
R30H60T9DnormalS9A0,R30H60T9DnormalS9A0,2739400,2740923,1523
R30H70T9DnormalS7A0,R30H70T9DnormalS7A0,3186809,3188094,1285
R30H80T9DnormalS2A0,R30H80T9DnormalS2A0,3643620,3648668,5048
R30H80T9DnormalS4A0,R30H80T9DnormalS4A0,3628036,3644647,16611
R30H90T9DnormalS7A0,R30H90T9DnormalS7A0,4091827,4096681,4854
R30H90T9DnormalS3A0,R30H90T9DnormalS3A0,4104619,4110227,5608
R30H100T9DnormalS4A0,R30H100T9DnormalS4A0,4570496,4581689,11193
R40H20T9DnormalS0A0,R40H20T9DnormalS0A0,1661294,1662735,1441
R40H30T9DnormalS7A0,R40H30T9DnormalS7A0,2456390,2458368,1978
R40H40T9DnormalS5A0,R40H40T9DnormalS5A0,3257234,3259296,2062
R40H60T9DnormalS7A0,R40H60T9DnormalS7A0,4887048,4888774,1726
R40H60T9DnormalS8A0,R40H60T9DnormalS8A0,4888593,4889762,1169
R50H40T9DnormalS5A0,R50H40T9DnormalS5A0,5064756,5072625,7869
R50H60T9DnormalS4A0,R50H60T9DnormalS4A0,7643055,7652743,9688
R50H60T9DnormalS9A0,R50H60T9DnormalS9A0,7616407,7617766,1359
