File Name, Number of Robots, Number of Rounds, Algorithm, Graph Type, Link Density, Distribution, Seed, Final Cumulative Signal Strength
R10H10T0DnormalS7A0,10,10,LAH0,chain,null,normal,5312,10931.0
R10H10T0DnormalS2A0,10,10,LAH0,chain,null,normal,5680,10968.0
R10H10T0DnormalS6A0,10,10,LAH0,chain,null,normal,6325,10790.0
R10H10T0DnormalS3A0,10,10,LAH0,chain,null,normal,28060,11154.0
R10H10T0DnormalS1A0,10,10,LAH0,chain,null,normal,30125,11113.0
R10H10T0DnormalS4A0,10,10,LAH0,chain,null,normal,33626,11422.0
R10H10T0DnormalS5A0,10,10,LAH0,chain,null,normal,34445,11152.0
R10H10T0DnormalS0A0,10,10,LAH0,chain,null,normal,36223,11449.0
R10H10T0DnormalS8A0,10,10,LAH0,chain,null,normal,37611,10196.0
R10H10T0DnormalS9A0,10,10,LAH0,chain,null,normal,59237,10695.0
R10H10T9DnormalS7A0,10,10,LAH0,full,null,normal,5312,50545.0
R10H10T9DnormalS2A0,10,10,LAH0,full,null,normal,5680,51110.0
R10H10T9DnormalS6A0,10,10,LAH0,full,null,normal,6325,51098.0
R10H10T9DnormalS3A0,10,10,LAH0,full,null,normal,28060,51263.0
R10H10T9DnormalS1A0,10,10,LAH0,full,null,normal,30125,51438.0
R10H10T9DnormalS4A0,10,10,LAH0,full,null,normal,33626,51447.0
R10H10T9DnormalS5A0,10,10,LAH0,full,null,normal,34445,53066.0
R10H10T9DnormalS0A0,10,10,LAH0,full,null,normal,36223,49844.0
R10H10T9DnormalS8A0,10,10,LAH0,full,null,normal,37611,51383.0
R10H10T9DnormalS9A0,10,10,LAH0,full,null,normal,59237,50914.0
R10H10T8DnormalS7A0,10,10,LAH0,random,6.0,normal,5312,0.0
R10H10T1DnormalS7A0,10,10,LAH0,random,0.5,normal,5312,11168.0
R10H10T2DnormalS7A0,10,10,LAH0,random,0.8,normal,5312,11168.0
R10H10T3DnormalS7A0,10,10,LAH0,random,1.0,normal,5312,11434.0
R10H10T4DnormalS7A0,10,10,LAH0,random,1.2,normal,5312,13294.0
R10H10T5DnormalS7A0,10,10,LAH0,random,1.5,normal,5312,17450.0
R10H10T6DnormalS7A0,10,10,LAH0,random,2.0,normal,5312,23025.0
R10H10T7DnormalS7A0,10,10,LAH0,random,3.0,normal,5312,35122.0
R10H10T8DnormalS2A0,10,10,LAH0,random,6.0,normal,5680,0.0
R10H10T1DnormalS2A0,10,10,LAH0,random,0.5,normal,5680,12716.0
R10H10T2DnormalS2A0,10,10,LAH0,random,0.8,normal,5680,12716.0
R10H10T3DnormalS2A0,10,10,LAH0,random,1.0,normal,5680,12716.0
R10H10T4DnormalS2A0,10,10,LAH0,random,1.2,normal,5680,14238.0
R10H10T5DnormalS2A0,10,10,LAH0,random,1.5,normal,5680,18018.0
R10H10T6DnormalS2A0,10,10,LAH0,random,2.0,normal,5680,23427.0
R10H10T7DnormalS2A0,10,10,LAH0,random,3.0,normal,5680,34735.0
R10H10T8DnormalS6A0,10,10,LAH0,random,6.0,normal,6325,0.0
R10H10T1DnormalS6A0,10,10,LAH0,random,0.5,normal,6325,14177.0
R10H10T2DnormalS6A0,10,10,LAH0,random,0.8,normal,6325,14177.0
R10H10T3DnormalS6A0,10,10,LAH0,random,1.0,normal,6325,14177.0
R10H10T4DnormalS6A0,10,10,LAH0,random,1.2,normal,6325,14177.0
R10H10T5DnormalS6A0,10,10,LAH0,random,1.5,normal,6325,17751.0
R10H10T6DnormalS6A0,10,10,LAH0,random,2.0,normal,6325,24018.0
R10H10T7DnormalS6A0,10,10,LAH0,random,3.0,normal,6325,34608.0
R10H10T8DnormalS3A0,10,10,LAH0,random,6.0,normal,28060,0.0
R10H10T1DnormalS3A0,10,10,LAH0,random,0.5,normal,28060,15411.0
R10H10T2DnormalS3A0,10,10,LAH0,random,0.8,normal,28060,15411.0
R10H10T3DnormalS3A0,10,10,LAH0,random,1.0,normal,28060,15411.0
R10H10T4DnormalS3A0,10,10,LAH0,random,1.2,normal,28060,15411.0
R10H10T5DnormalS3A0,10,10,LAH0,random,1.5,normal,28060,17694.0
R10H10T6DnormalS3A0,10,10,LAH0,random,2.0,normal,28060,23940.0
R10H10T7DnormalS3A0,10,10,LAH0,random,3.0,normal,28060,34576.0
R10H10T8DnormalS1A0,10,10,LAH0,random,6.0,normal,30125,0.0
R10H10T1DnormalS1A0,10,10,LAH0,random,0.5,normal,30125,13116.0
R10H10T2DnormalS1A0,10,10,LAH0,random,0.8,normal,30125,13116.0
R10H10T3DnormalS1A0,10,10,LAH0,random,1.0,normal,30125,13116.0
R10H10T4DnormalS1A0,10,10,LAH0,random,1.2,normal,30125,14472.0
R10H10T5DnormalS1A0,10,10,LAH0,random,1.5,normal,30125,18304.0
R10H10T6DnormalS1A0,10,10,LAH0,random,2.0,normal,30125,23370.0
R10H10T7DnormalS1A0,10,10,LAH0,random,3.0,normal,30125,34872.0
R10H10T8DnormalS4A0,10,10,LAH0,random,6.0,normal,33626,0.0
R10H10T1DnormalS4A0,10,10,LAH0,random,0.5,normal,33626,20342.0
R10H10T2DnormalS4A0,10,10,LAH0,random,0.8,normal,33626,20342.0
R10H10T3DnormalS4A0,10,10,LAH0,random,1.0,normal,33626,20342.0
R10H10T4DnormalS4A0,10,10,LAH0,random,1.2,normal,33626,20342.0
R10H10T5DnormalS4A0,10,10,LAH0,random,1.5,normal,33626,20342.0
R10H10T6DnormalS4A0,10,10,LAH0,random,2.0,normal,33626,23909.0
R10H10T7DnormalS4A0,10,10,LAH0,random,3.0,normal,33626,35443.0
R10H10T8DnormalS5A0,10,10,LAH0,random,6.0,normal,34445,0.0
R10H10T1DnormalS5A0,10,10,LAH0,random,0.5,normal,34445,8526.0
R10H10T2DnormalS5A0,10,10,LAH0,random,0.8,normal,34445,9513.0
R10H10T3DnormalS5A0,10,10,LAH0,random,1.0,normal,34445,12012.0
R10H10T4DnormalS5A0,10,10,LAH0,random,1.2,normal,34445,14768.0
R10H10T5DnormalS5A0,10,10,LAH0,random,1.5,normal,34445,17407.0
R10H10T6DnormalS5A0,10,10,LAH0,random,2.0,normal,34445,23110.0
R10H10T7DnormalS5A0,10,10,LAH0,random,3.0,normal,34445,35304.0
R10H10T8DnormalS0A0,10,10,LAH0,random,6.0,normal,36223,0.0
R10H10T1DnormalS0A0,10,10,LAH0,random,0.5,normal,36223,15257.0
R10H10T2DnormalS0A0,10,10,LAH0,random,0.8,normal,36223,15257.0
R10H10T3DnormalS0A0,10,10,LAH0,random,1.0,normal,36223,15257.0
R10H10T4DnormalS0A0,10,10,LAH0,random,1.2,normal,36223,15257.0
R10H10T5DnormalS0A0,10,10,LAH0,random,1.5,normal,36223,18218.0
R10H10T6DnormalS0A0,10,10,LAH0,random,2.0,normal,36223,23276.0
R10H10T7DnormalS0A0,10,10,LAH0,random,3.0,normal,36223,33995.0
R10H10T8DnormalS8A0,10,10,LAH0,random,6.0,normal,37611,0.0
R10H10T1DnormalS8A0,10,10,LAH0,random,0.5,normal,37611,15055.0
R10H10T2DnormalS8A0,10,10,LAH0,random,0.8,normal,37611,15055.0
R10H10T3DnormalS8A0,10,10,LAH0,random,1.0,normal,37611,15055.0
R10H10T4DnormalS8A0,10,10,LAH0,random,1.2,normal,37611,15055.0
R10H10T5DnormalS8A0,10,10,LAH0,random,1.5,normal,37611,16992.0
R10H10T6DnormalS8A0,10,10,LAH0,random,2.0,normal,37611,22986.0
R10H10T7DnormalS8A0,10,10,LAH0,random,3.0,normal,37611,33859.0
R10H10T8DnormalS9A0,10,10,LAH0,random,6.0,normal,59237,0.0
R10H10T1DnormalS9A0,10,10,LAH0,random,0.5,normal,59237,11502.0
R10H10T2DnormalS9A0,10,10,LAH0,random,0.8,normal,59237,11502.0
R10H10T3DnormalS9A0,10,10,LAH0,random,1.0,normal,59237,11502.0
R10H10T4DnormalS9A0,10,10,LAH0,random,1.2,normal,59237,14630.0
R10H10T5DnormalS9A0,10,10,LAH0,random,1.5,normal,59237,18940.0
R10H10T6DnormalS9A0,10,10,LAH0,random,2.0,normal,59237,23679.0
R10H10T7DnormalS9A0,10,10,LAH0,random,3.0,normal,59237,33769.0
