REBID Simulation, MPGM Simulation, Round Number Beaten, REBID Round Reward, MPGM Round Reward
R10H10T0DnormalS7A0,R10H10T0DnormalS7A0,2.0,955.0,963.0
R10H10T0DnormalS2A0,R10H10T0DnormalS2A0,0.0,934.0,934.0
R10H10T0DnormalS6A0,R10H10T0DnormalS6A0,0.0,950.0,950.0
R10H10T0DnormalS3A0,R10H10T0DnormalS3A0,2.0,955.0,962.0
R10H10T0DnormalS1A0,R10H10T0DnormalS1A0,2.0,987.0,997.0
R10H10T0DnormalS4A0,R10H10T0DnormalS4A0,0.0,1046.0,1046.0
R10H10T0DnormalS5A0,R10H10T0DnormalS5A0,0.0,975.0,988.0
R10H10T0DnormalS8A0,R10H10T0DnormalS8A0,0.0,876.0,876.0
R10H10T0DnormalS9A0,R10H10T0DnormalS9A0,1.0,934.0,977.0
R10H10T9DnormalS7A0,R10H10T9DnormalS7A0,0.0,4556.0,4556.0
R10H10T9DnormalS2A0,R10H10T9DnormalS2A0,0.0,4493.0,4493.0
R10H10T9DnormalS6A0,R10H10T9DnormalS6A0,0.0,4490.0,4490.0
R10H10T9DnormalS3A0,R10H10T9DnormalS3A0,0.0,4579.0,4579.0
R10H10T9DnormalS1A0,R10H10T9DnormalS1A0,0.0,4527.0,4527.0
R10H10T9DnormalS4A0,R10H10T9DnormalS4A0,0.0,4609.0,4609.0
R10H10T9DnormalS5A0,R10H10T9DnormalS5A0,0.0,4535.0,4535.0
R10H10T9DnormalS0A0,R10H10T9DnormalS0A0,0.0,4306.0,4306.0
R10H10T9DnormalS8A0,R10H10T9DnormalS8A0,0.0,4575.0,4575.0
R10H10T9DnormalS9A0,R10H10T9DnormalS9A0,0.0,4599.0,4599.0
R10H10T1DnormalS7A0,R10H10T1DnormalS7A0,0.0,916.0,937.0
R10H10T2DnormalS7A0,R10H10T2DnormalS7A0,0.0,916.0,937.0
R10H10T3DnormalS7A0,R10H10T3DnormalS7A0,0.0,961.0,993.0
R10H10T4DnormalS7A0,R10H10T4DnormalS7A0,0.0,1090.0,1155.0
R10H10T5DnormalS7A0,R10H10T5DnormalS7A0,0.0,1396.0,1422.0
R10H10T6DnormalS7A0,R10H10T6DnormalS7A0,2.0,2000.0,2082.0
R10H10T1DnormalS2A0,R10H10T1DnormalS2A0,3.0,1110.0,1122.0
R10H10T2DnormalS2A0,R10H10T2DnormalS2A0,3.0,1110.0,1122.0
R10H10T3DnormalS2A0,R10H10T3DnormalS2A0,3.0,1110.0,1122.0
R10H10T4DnormalS2A0,R10H10T4DnormalS2A0,0.0,1247.0,1248.0
R10H10T7DnormalS2A0,R10H10T7DnormalS2A0,0.0,3053.0,3064.0
R10H10T1DnormalS6A0,R10H10T1DnormalS6A0,0.0,1169.0,1169.0
