File Name, Number of Robots, Number of Rounds, Algorithm, Graph Type, Link Density, Distribution, Seed, Final Cumulative Signal Strength
#R20H10T0DnormalS6A0#,0,10,MPGM,full,null,normal,5784,212348
R10H10T0DnormalS8A1,10,10,LAH0,full,null,normal,2764,51020
R10H10T0DnormalS6A1,10,10,LAH0,full,null,normal,5784,50605
R10H10T0DnormalS4A1,10,10,LAH0,full,null,normal,10086,51150
R10H10T0DnormalS14A1,10,10,LAH0,full,null,normal,11493,52825
R10H10T0DnormalS2A1,10,10,LAH0,full,null,normal,13003,52335
R10H10T0DnormalS9A1,10,10,LAH0,full,null,normal,13494,50035
R10H10T0DnormalS0A1,10,10,LAH0,full,null,normal,16430,51058
R10H10T0DnormalS19A1,10,10,LAH0,full,null,normal,18962,50816
R10H10T0DnormalS17A1,10,10,LAH0,full,null,normal,19695,52571
R10H10T0DnormalS16A1,10,10,LAH0,full,null,normal,20915,50975
R10H10T0DnormalS3A1,10,10,LAH0,full,null,normal,23091,52628
R10H10T0DnormalS7A1,10,10,LAH0,full,null,normal,27181,51542
R10H10T0DnormalS10A1,10,10,LAH0,full,null,normal,27917,51084
R10H10T0DnormalS12A1,10,10,LAH0,full,null,normal,39103,51923
R10H10T0DnormalS1A1,10,10,LAH0,full,null,normal,42904,50341
R10H10T0DnormalS11A1,10,10,LAH0,full,null,normal,46068,50901
R10H10T0DnormalS13A1,10,10,LAH0,full,null,normal,51660,50705
R10H10T0DnormalS5A1,10,10,LAH0,full,null,normal,53699,53226
R10H10T0DnormalS15A1,10,10,LAH0,full,null,normal,54377,50969
R10H10T0DnormalS18A1,10,10,LAH0,full,null,normal,61581,52857
R10H10T0DnormalS8A0,10,10,MPGM,full,null,normal,2764,50956
R10H10T0DnormalS6A0,10,10,MPGM,full,null,normal,5784,50586
R10H10T0DnormalS4A0,10,10,MPGM,full,null,normal,10086,51143
R10H10T0DnormalS14A0,10,10,MPGM,full,null,normal,11493,52758
R10H10T0DnormalS2A0,10,10,MPGM,full,null,normal,13003,52217
R10H10T0DnormalS9A0,10,10,MPGM,full,null,normal,13494,50121
R10H10T0DnormalS0A0,10,10,MPGM,full,null,normal,16430,50982
R10H10T0DnormalS19A0,10,10,MPGM,full,null,normal,18962,50816
R10H10T0DnormalS17A0,10,10,MPGM,full,null,normal,19695,52594
R10H10T0DnormalS16A0,10,10,MPGM,full,null,normal,20915,50816
R10H10T0DnormalS3A0,10,10,MPGM,full,null,normal,23091,52576
R10H10T0DnormalS7A0,10,10,MPGM,full,null,normal,27181,51493
R10H10T0DnormalS10A0,10,10,MPGM,full,null,normal,27917,51120
R10H10T0DnormalS12A0,10,10,MPGM,full,null,normal,39103,52118
R10H10T0DnormalS1A0,10,10,MPGM,full,null,normal,42904,50381
R10H10T0DnormalS11A0,10,10,MPGM,full,null,normal,46068,50913
R10H10T0DnormalS13A0,10,10,MPGM,full,null,normal,51660,50861
R10H10T0DnormalS5A0,10,10,MPGM,full,null,normal,53699,53283
R10H10T0DnormalS15A0,10,10,MPGM,full,null,normal,54377,51028
R10H10T0DnormalS18A0,10,10,MPGM,full,null,normal,61581,52571
R10H20T0DnormalS8A1,10,20,LAH0,full,null,normal,2764,98054
R10H20T0DnormalS6A1,10,20,LAH0,full,null,normal,5784,98095
R10H20T0DnormalS4A1,10,20,LAH0,full,null,normal,10086,98839
R10H20T0DnormalS14A1,10,20,LAH0,full,null,normal,11493,100980
R10H20T0DnormalS2A1,10,20,LAH0,full,null,normal,13003,100461
R10H20T0DnormalS9A1,10,20,LAH0,full,null,normal,13494,100631
R10H20T0DnormalS0A1,10,20,LAH0,full,null,normal,16430,97537
R10H20T0DnormalS19A1,10,20,LAH0,full,null,normal,18962,96780
R10H20T0DnormalS17A1,10,20,LAH0,full,null,normal,19695,100406
R10H20T0DnormalS16A1,10,20,LAH0,full,null,normal,20915,99303
R10H20T0DnormalS3A1,10,20,LAH0,full,null,normal,23091,101440
R10H20T0DnormalS7A1,10,20,LAH0,full,null,normal,27181,98739
R10H20T0DnormalS10A1,10,20,LAH0,full,null,normal,27917,99731
R10H20T0DnormalS12A1,10,20,LAH0,full,null,normal,39103,98532
R10H20T0DnormalS1A1,10,20,LAH0,full,null,normal,42904,98283
R10H20T0DnormalS11A1,10,20,LAH0,full,null,normal,46068,100021
R10H20T0DnormalS13A1,10,20,LAH0,full,null,normal,51660,103227
R10H20T0DnormalS5A1,10,20,LAH0,full,null,normal,53699,101572
R10H20T0DnormalS15A1,10,20,LAH0,full,null,normal,54377,97785
R10H20T0DnormalS18A1,10,20,LAH0,full,null,normal,61581,100128
R10H20T0DnormalS8A0,10,20,MPGM,full,null,normal,2764,98366
R10H20T0DnormalS6A0,10,20,MPGM,full,null,normal,5784,97978
R10H20T0DnormalS4A0,10,20,MPGM,full,null,normal,10086,98878
R10H20T0DnormalS14A0,10,20,MPGM,full,null,normal,11493,99460
R10H20T0DnormalS2A0,10,20,MPGM,full,null,normal,13003,98866
R10H20T0DnormalS9A0,10,20,MPGM,full,null,normal,13494,100547
R10H20T0DnormalS0A0,10,20,MPGM,full,null,normal,16430,97910
R10H20T0DnormalS19A0,10,20,MPGM,full,null,normal,18962,96704
R10H20T0DnormalS17A0,10,20,MPGM,full,null,normal,19695,100105
R10H20T0DnormalS16A0,10,20,MPGM,full,null,normal,20915,99132
R10H20T0DnormalS3A0,10,20,MPGM,full,null,normal,23091,101507
R10H20T0DnormalS7A0,10,20,MPGM,full,null,normal,27181,98607
R10H20T0DnormalS10A0,10,20,MPGM,full,null,normal,27917,99711
R10H20T0DnormalS12A0,10,20,MPGM,full,null,normal,39103,98405
R10H20T0DnormalS1A0,10,20,MPGM,full,null,normal,42904,98066
R10H20T0DnormalS11A0,10,20,MPGM,full,null,normal,46068,99781
R10H20T0DnormalS13A0,10,20,MPGM,full,null,normal,51660,102568
R10H20T0DnormalS5A0,10,20,MPGM,full,null,normal,53699,101246
R10H20T0DnormalS15A0,10,20,MPGM,full,null,normal,54377,97764
R10H20T0DnormalS18A0,10,20,MPGM,full,null,normal,61581,99608
R10H30T0DnormalS8A1,10,30,LAH0,full,null,normal,2764,151063
R10H30T0DnormalS6A1,10,30,LAH0,full,null,normal,5784,148712
R10H30T0DnormalS4A1,10,30,LAH0,full,null,normal,10086,144909
R10H30T0DnormalS14A1,10,30,LAH0,full,null,normal,11493,146585
R10H30T0DnormalS2A1,10,30,LAH0,full,null,normal,13003,153871
R10H30T0DnormalS9A1,10,30,LAH0,full,null,normal,13494,145969
R10H30T0DnormalS0A1,10,30,LAH0,full,null,normal,16430,148513
R10H30T0DnormalS19A1,10,30,LAH0,full,null,normal,18962,145738
R10H30T0DnormalS17A1,10,30,LAH0,full,null,normal,19695,149714
R10H30T0DnormalS16A1,10,30,LAH0,full,null,normal,20915,147273
R10H30T0DnormalS3A1,10,30,LAH0,full,null,normal,23091,150591
R10H30T0DnormalS7A1,10,30,LAH0,full,null,normal,27181,150674
R10H30T0DnormalS10A1,10,30,LAH0,full,null,normal,27917,149929
R10H30T0DnormalS12A1,10,30,LAH0,full,null,normal,39103,150281
R10H30T0DnormalS1A1,10,30,LAH0,full,null,normal,42904,145824
R10H30T0DnormalS11A1,10,30,LAH0,full,null,normal,46068,149274
R10H30T0DnormalS13A1,10,30,LAH0,full,null,normal,51660,152233
R10H30T0DnormalS5A1,10,30,LAH0,full,null,normal,53699,147603
R10H30T0DnormalS15A1,10,30,LAH0,full,null,normal,54377,150949
R10H30T0DnormalS18A1,10,30,LAH0,full,null,normal,61581,150949
R10H30T0DnormalS8A0,10,30,MPGM,full,null,normal,2764,151198
R10H30T0DnormalS6A0,10,30,MPGM,full,null,normal,5784,148557
R10H30T0DnormalS4A0,10,30,MPGM,full,null,normal,10086,144804
R10H30T0DnormalS14A0,10,30,MPGM,full,null,normal,11493,146518
R10H30T0DnormalS2A0,10,30,MPGM,full,null,normal,13003,152844
R10H30T0DnormalS9A0,10,30,MPGM,full,null,normal,13494,146032
R10H30T0DnormalS0A0,10,30,MPGM,full,null,normal,16430,147838
R10H30T0DnormalS19A0,10,30,MPGM,full,null,normal,18962,145755
R10H30T0DnormalS17A0,10,30,MPGM,full,null,normal,19695,148968
R10H30T0DnormalS16A0,10,30,MPGM,full,null,normal,20915,147065
R10H30T0DnormalS3A0,10,30,MPGM,full,null,normal,23091,149020
R10H30T0DnormalS7A0,10,30,MPGM,full,null,normal,27181,150287
R10H30T0DnormalS10A0,10,30,MPGM,full,null,normal,27917,149844
R10H30T0DnormalS12A0,10,30,MPGM,full,null,normal,39103,149968
R10H30T0DnormalS1A0,10,30,MPGM,full,null,normal,42904,145669
R10H30T0DnormalS11A0,10,30,MPGM,full,null,normal,46068,148484
R10H30T0DnormalS13A0,10,30,MPGM,full,null,normal,51660,151488
R10H30T0DnormalS5A0,10,30,MPGM,full,null,normal,53699,147047
R10H30T0DnormalS15A0,10,30,MPGM,full,null,normal,54377,150855
R10H30T0DnormalS18A0,10,30,MPGM,full,null,normal,61581,150048
R10H40T0DnormalS8A1,10,40,LAH0,full,null,normal,2764,195657
R10H40T0DnormalS6A1,10,40,LAH0,full,null,normal,5784,199608
R10H40T0DnormalS4A1,10,40,LAH0,full,null,normal,10086,196317
R10H40T0DnormalS14A1,10,40,LAH0,full,null,normal,11493,200610
R10H40T0DnormalS2A1,10,40,LAH0,full,null,normal,13003,201960
R10H40T0DnormalS9A1,10,40,LAH0,full,null,normal,13494,203787
R10H40T0DnormalS0A1,10,40,LAH0,full,null,normal,16430,200118
R10H40T0DnormalS19A1,10,40,LAH0,full,null,normal,18962,196015
R10H40T0DnormalS17A1,10,40,LAH0,full,null,normal,19695,198010
R10H40T0DnormalS16A1,10,40,LAH0,full,null,normal,20915,197238
R10H40T0DnormalS3A1,10,40,LAH0,full,null,normal,23091,200284
R10H40T0DnormalS7A1,10,40,LAH0,full,null,normal,27181,201858
R10H40T0DnormalS10A1,10,40,LAH0,full,null,normal,27917,199631
R10H40T0DnormalS12A1,10,40,LAH0,full,null,normal,39103,196490
R10H40T0DnormalS1A1,10,40,LAH0,full,null,normal,42904,197692
R10H40T0DnormalS11A1,10,40,LAH0,full,null,normal,46068,196219
R10H40T0DnormalS13A1,10,40,LAH0,full,null,normal,51660,199775
R10H40T0DnormalS5A1,10,40,LAH0,full,null,normal,53699,196429
R10H40T0DnormalS15A1,10,40,LAH0,full,null,normal,54377,197836
R10H40T0DnormalS18A1,10,40,LAH0,full,null,normal,61581,199266
R10H40T0DnormalS8A0,10,40,MPGM,full,null,normal,2764,195725
R10H40T0DnormalS6A0,10,40,MPGM,full,null,normal,5784,199305
R10H40T0DnormalS4A0,10,40,MPGM,full,null,normal,10086,196649
R10H40T0DnormalS14A0,10,40,MPGM,full,null,normal,11493,199461
R10H40T0DnormalS2A0,10,40,MPGM,full,null,normal,13003,201176
R10H40T0DnormalS9A0,10,40,MPGM,full,null,normal,13494,203144
R10H40T0DnormalS0A0,10,40,MPGM,full,null,normal,16430,199033
R10H40T0DnormalS19A0,10,40,MPGM,full,null,normal,18962,195700
R10H40T0DnormalS17A0,10,40,MPGM,full,null,normal,19695,197256
R10H40T0DnormalS16A0,10,40,MPGM,full,null,normal,20915,196730
R10H40T0DnormalS3A0,10,40,MPGM,full,null,normal,23091,201000
R10H40T0DnormalS7A0,10,40,MPGM,full,null,normal,27181,201058
R10H40T0DnormalS10A0,10,40,MPGM,full,null,normal,27917,199193
R10H40T0DnormalS12A0,10,40,MPGM,full,null,normal,39103,196221
R10H40T0DnormalS1A0,10,40,MPGM,full,null,normal,42904,197007
R10H40T0DnormalS11A0,10,40,MPGM,full,null,normal,46068,196004
R10H40T0DnormalS13A0,10,40,MPGM,full,null,normal,51660,198313
R10H40T0DnormalS5A0,10,40,MPGM,full,null,normal,53699,196645
R10H40T0DnormalS15A0,10,40,MPGM,full,null,normal,54377,199584
R10H40T0DnormalS18A0,10,40,MPGM,full,null,normal,61581,198945
R10H50T0DnormalS8A1,10,50,LAH0,full,null,normal,2764,246860
R10H50T0DnormalS6A1,10,50,LAH0,full,null,normal,5784,247050
R10H50T0DnormalS4A1,10,50,LAH0,full,null,normal,10086,247943
R10H50T0DnormalS14A1,10,50,LAH0,full,null,normal,11493,245260
R10H50T0DnormalS2A1,10,50,LAH0,full,null,normal,13003,245298
R10H50T0DnormalS9A1,10,50,LAH0,full,null,normal,13494,244211
R10H50T0DnormalS0A1,10,50,LAH0,full,null,normal,16430,249829
R10H50T0DnormalS19A1,10,50,LAH0,full,null,normal,18962,254325
R10H50T0DnormalS17A1,10,50,LAH0,full,null,normal,19695,246328
