NumRobots, Num Rounds, REBID FCSS, MPGM FCSS, REBID FSS, MPGM FSS, FLIP
10,10,50545,50702,4713,4695,FALSE
10,10,51110,51065,4779,4789,TRUE
10,10,51098,50671,4795,4647,FALSE
10,10,51263,51295,4769,4801,FALSE
10,10,51438,51519,4756,4837,FALSE
10,10,51447,51431,4758,4742,FALSE
10,10,53066,52994,5008,5018,TRUE
10,10,49844,49913,4676,4745,FALSE
10,10,51383,51556,4695,4781,FALSE
10,10,50914,50954,4690,4730,FALSE
10,20,100020,99875,4885,4885,FALSE
10,20,98178,98036,4803,4718,FALSE
10,20,99333,99223,4863,4782,FALSE
10,20,99433,99627,4828,4801,FALSE
10,20,100616,100474,4884,4878,FALSE
10,20,101730,101501,5045,5044,FALSE
10,20,99464,99928,4891,4829,FALSE
10,20,100864,100392,4937,4864,FALSE
10,20,100040,100431,4872,4929,FALSE
10,20,102340,102478,4946,4937,FALSE
10,30,149216,148962,4956,4873,FALSE
10,30,147867,147808,4952,4928,FALSE
10,30,147260,147057,4874,4927,TRUE
10,30,147050,145354,5015,4843,FALSE
10,30,152296,151751,5062,5071,TRUE
10,30,149969,149218,5024,5022,FALSE
10,30,147738,147472,4949,4902,FALSE
10,30,148396,148459,4886,4903,FALSE
10,30,146083,146307,4835,4881,FALSE
10,30,149627,149493,5019,4998,FALSE
10,40,197033,196827,4961,4868,FALSE
10,40,195388,195687,4900,4947,FALSE
10,40,198531,199173,4933,5030,FALSE
10,40,198187,197680,5054,5022,FALSE
10,40,195101,195137,4875,4911,FALSE
10,40,197733,198917,4932,5081,FALSE
10,40,197760,198523,4940,4960,FALSE
10,40,199817,198374,4966,4895,FALSE
10,40,197178,196754,4939,4786,FALSE
10,40,195481,195427,4894,4889,FALSE
10,50,250509,249418,5074,4970,FALSE
10,50,247955,247625,4968,5055,TRUE
10,50,248616,247811,4992,4877,FALSE
10,50,246724,246729,4928,4908,FALSE
10,50,251164,249016,5053,4929,FALSE
10,50,248105,247058,5018,4894,FALSE
10,50,248205,249660,4954,4981,FALSE
10,50,250589,249712,5027,4938,FALSE
10,50,247749,247049,4998,5018,TRUE
10,50,244555,243787,4989,4993,TRUE
10,60,295208,295483,4958,4871,FALSE
10,60,295087,295231,4993,4945,FALSE
10,60,296381,295538,4985,4858,FALSE
10,60,297181,298727,5036,4972,FALSE
10,60,302925,300580,5041,5018,FALSE
10,60,296363,295430,5014,5048,TRUE
10,60,288649,288474,4896,4881,FALSE
10,60,296759,296275,5014,4927,FALSE
10,60,297613,297375,5002,5038,TRUE
10,60,294687,294210,5012,4934,FALSE
10,70,347848,345694,5028,4868,FALSE
10,70,347735,346973,5007,4915,FALSE
10,70,354231,351390,5080,4943,FALSE
10,70,354407,353236,5074,5038,FALSE
10,70,349222,347222,5041,5009,FALSE
10,70,349187,347335,5105,5064,FALSE
10,70,346977,348446,4999,5012,FALSE
10,70,345694,345431,5029,5014,FALSE
10,70,351174,348282,5045,5004,FALSE
10,70,349262,347979,5004,4955,FALSE
10,80,394379,393563,4998,4969,FALSE
10,80,393807,392666,5000,4936,FALSE
10,80,398626,396766,5087,5116,TRUE
10,80,401014,401398,5058,5015,FALSE
10,80,400331,399181,5121,5073,FALSE
10,80,395147,392040,5017,5091,TRUE
10,80,414531,410562,5209,5136,FALSE
10,80,398833,397522,5112,5125,TRUE
10,80,398342,396347,5077,4997,FALSE
10,80,401257,398216,5055,4983,FALSE
10,90,455215,454438,5102,5074,FALSE
10,90,445929,445259,5031,4979,FALSE
10,90,451798,450156,5050,4957,FALSE
10,90,447685,445830,4985,4969,FALSE
10,90,443877,440818,5009,4998,FALSE
10,90,443868,443452,4990,4969,FALSE
10,90,449999,449220,5054,5000,FALSE
10,90,454036,450438,5096,5060,FALSE
10,90,448257,447104,5080,4925,FALSE
10,90,445375,443731,5148,5096,FALSE
10,100,501041,499532,5077,5044,FALSE
10,100,495670,496130,5018,5003,FALSE
10,100,499038,495865,5090,5018,FALSE
10,100,500583,504475,5088,5165,FALSE
10,100,492706,495858,4998,5056,FALSE
10,100,495800,494929,5023,5019,FALSE
10,100,497408,496559,5088,5037,FALSE
10,100,492520,490440,5051,4955,FALSE
10,100,491623,491000,4999,4979,FALSE
10,100,498303,498867,5075,5083,FALSE
20,10,212640,212535,19533,19428,FALSE
20,10,211420,211410,19387,19377,FALSE
20,10,212228,212238,19634,19644,FALSE
20,10,214337,214405,19731,19799,FALSE
20,10,213948,213970,19727,19749,FALSE
20,10,208110,208101,19212,19203,FALSE
20,10,211618,211728,19440,19550,FALSE
20,10,210823,210717,19447,19469,TRUE
20,10,214526,214465,19775,19788,TRUE
20,10,216323,216371,19880,19928,FALSE
20,20,408609,408602,19811,19804,FALSE
20,20,405434,405421,19748,19735,FALSE
20,20,409327,409587,19792,19866,FALSE
20,20,406761,410294,19602,19816,FALSE
20,20,411255,410984,19929,19784,FALSE
20,20,407284,407303,19836,19855,FALSE
20,20,409150,409128,19766,19744,FALSE
20,20,412486,412203,19849,19785,FALSE
20,20,413559,413493,20066,19991,FALSE
20,20,416096,414467,20053,19929,FALSE
