File Name, Number of Robots, Number of Rounds, Algorithm, Graph Type, Link Density, Distribution, Seed, Final Cumulative Signal Strength
R10H10T0DnormalS7A0,10,10,MPGM,chain,null,normal,5312,10608.0
R10H10T0DnormalS2A0,10,10,MPGM,chain,null,normal,5680,10558.0
R10H10T0DnormalS6A0,10,10,MPGM,chain,null,normal,6325,10654.0
R10H10T0DnormalS3A0,10,10,MPGM,chain,null,normal,28060,10372.0
R10H10T0DnormalS1A0,10,10,MPGM,chain,null,normal,30125,10784.0
R10H10T0DnormalS4A0,10,10,MPGM,chain,null,normal,33626,11195.0
R10H10T0DnormalS5A0,10,10,MPGM,chain,null,normal,34445,11016.0
R10H10T0DnormalS0A0,10,10,MPGM,chain,null,normal,36223,10573.0
R10H10T0DnormalS8A0,10,10,MPGM,chain,null,normal,37611,10165.0
R10H10T0DnormalS9A0,10,10,MPGM,chain,null,normal,59237,10637.0
R10H10T9DnormalS7A0,10,10,MPGM,full,null,normal,5312,50702.0
R10H10T9DnormalS2A0,10,10,MPGM,full,null,normal,5680,51065.0
R10H10T9DnormalS6A0,10,10,MPGM,full,null,normal,6325,50671.0
R10H10T9DnormalS3A0,10,10,MPGM,full,null,normal,28060,51295.0
R10H10T9DnormalS1A0,10,10,MPGM,full,null,normal,30125,51519.0
R10H10T9DnormalS4A0,10,10,MPGM,full,null,normal,33626,51431.0
R10H10T9DnormalS5A0,10,10,MPGM,full,null,normal,34445,52994.0
R10H10T9DnormalS0A0,10,10,MPGM,full,null,normal,36223,49913.0
R10H10T9DnormalS8A0,10,10,MPGM,full,null,normal,37611,51556.0
R10H10T9DnormalS9A0,10,10,MPGM,full,null,normal,59237,50954.0
R10H10T8DnormalS7A0,10,10,MPGM,random,6.0,normal,5312,0.0
R10H10T1DnormalS7A0,10,10,MPGM,random,0.5,normal,5312,10398.0
R10H10T2DnormalS7A0,10,10,MPGM,random,0.8,normal,5312,10398.0
R10H10T3DnormalS7A0,10,10,MPGM,random,1.0,normal,5312,10908.0
R10H10T4DnormalS7A0,10,10,MPGM,random,1.2,normal,5312,12368.0
R10H10T5DnormalS7A0,10,10,MPGM,random,1.5,normal,5312,16512.0
R10H10T6DnormalS7A0,10,10,MPGM,random,2.0,normal,5312,22195.0
R10H10T7DnormalS7A0,10,10,MPGM,random,3.0,normal,5312,33969.0
R10H10T8DnormalS2A0,10,10,MPGM,random,6.0,normal,5680,0.0
R10H10T1DnormalS2A0,10,10,MPGM,random,0.5,normal,5680,11408.0
R10H10T2DnormalS2A0,10,10,MPGM,random,0.8,normal,5680,11408.0
R10H10T3DnormalS2A0,10,10,MPGM,random,1.0,normal,5680,11408.0
R10H10T4DnormalS2A0,10,10,MPGM,random,1.2,normal,5680,13519.0
R10H10T5DnormalS2A0,10,10,MPGM,random,1.5,normal,5680,16354.0
R10H10T6DnormalS2A0,10,10,MPGM,random,2.0,normal,5680,21632.0
R10H10T7DnormalS2A0,10,10,MPGM,random,3.0,normal,5680,34046.0
R10H10T8DnormalS6A0,10,10,MPGM,random,6.0,normal,6325,0.0
R10H10T1DnormalS6A0,10,10,MPGM,random,0.5,normal,6325,13975.0
R10H10T2DnormalS6A0,10,10,MPGM,random,0.8,normal,6325,13975.0
R10H10T3DnormalS6A0,10,10,MPGM,random,1.0,normal,6325,13975.0
R10H10T4DnormalS6A0,10,10,MPGM,random,1.2,normal,6325,13975.0
R10H10T5DnormalS6A0,10,10,MPGM,random,1.5,normal,6325,16053.0
R10H10T6DnormalS6A0,10,10,MPGM,random,2.0,normal,6325,22815.0
R10H10T7DnormalS6A0,10,10,MPGM,random,3.0,normal,6325,33427.0
R10H10T8DnormalS3A0,10,10,MPGM,random,6.0,normal,28060,0.0
R10H10T1DnormalS3A0,10,10,MPGM,random,0.5,normal,28060,14656.0
R10H10T2DnormalS3A0,10,10,MPGM,random,0.8,normal,28060,14656.0
R10H10T3DnormalS3A0,10,10,MPGM,random,1.0,normal,28060,14656.0
R10H10T4DnormalS3A0,10,10,MPGM,random,1.2,normal,28060,14656.0
R10H10T5DnormalS3A0,10,10,MPGM,random,1.5,normal,28060,15324.0
R10H10T6DnormalS3A0,10,10,MPGM,random,2.0,normal,28060,23049.0
R10H10T7DnormalS3A0,10,10,MPGM,random,3.0,normal,28060,32913.0
R10H10T8DnormalS1A0,10,10,MPGM,random,6.0,normal,30125,0.0
R10H10T1DnormalS1A0,10,10,MPGM,random,0.5,normal,30125,11822.0
R10H10T2DnormalS1A0,10,10,MPGM,random,0.8,normal,30125,11822.0
R10H10T3DnormalS1A0,10,10,MPGM,random,1.0,normal,30125,11822.0
R10H10T4DnormalS1A0,10,10,MPGM,random,1.2,normal,30125,13144.0
R10H10T5DnormalS1A0,10,10,MPGM,random,1.5,normal,30125,15990.0
R10H10T6DnormalS1A0,10,10,MPGM,random,2.0,normal,30125,22886.0
R10H10T7DnormalS1A0,10,10,MPGM,random,3.0,normal,30125,33536.0
R10H10T8DnormalS4A0,10,10,MPGM,random,6.0,normal,33626,0.0
R10H10T1DnormalS4A0,10,10,MPGM,random,0.5,normal,33626,17334.0
R10H10T2DnormalS4A0,10,10,MPGM,random,0.8,normal,33626,17334.0
R10H10T3DnormalS4A0,10,10,MPGM,random,1.0,normal,33626,17334.0
R10H10T4DnormalS4A0,10,10,MPGM,random,1.2,normal,33626,17334.0
R10H10T5DnormalS4A0,10,10,MPGM,random,1.5,normal,33626,17334.0
R10H10T6DnormalS4A0,10,10,MPGM,random,2.0,normal,33626,21875.0
R10H10T7DnormalS4A0,10,10,MPGM,random,3.0,normal,33626,35076.0
R10H10T8DnormalS5A0,10,10,MPGM,random,6.0,normal,34445,0.0
R10H10T1DnormalS5A0,10,10,MPGM,random,0.5,normal,34445,7682.0
R10H10T2DnormalS5A0,10,10,MPGM,random,0.8,normal,34445,8565.0
R10H10T3DnormalS5A0,10,10,MPGM,random,1.0,normal,34445,11217.0
R10H10T4DnormalS5A0,10,10,MPGM,random,1.2,normal,34445,13072.0
R10H10T5DnormalS5A0,10,10,MPGM,random,1.5,normal,34445,16103.0
R10H10T6DnormalS5A0,10,10,MPGM,random,2.0,normal,34445,22197.0
R10H10T7DnormalS5A0,10,10,MPGM,random,3.0,normal,34445,34901.0
