Time Step, BlueX, BlueY, GreenX, GreenY, PinkX, PinkY, YellowX, YellowY, BlueX, BlueY, GreenX, GreenY, PinkX, PinkY, YellowX, YellowY,,%e Blue,%e Green,%e Yellow,%e pink
0,91,183,188,177,129,37,165,25,88,185.5,214,186,149.5,42,185.5,183,,3.905124838,27.51363298,159.3243547,21.10094785
1,88,177,188,177,146,73,157,28,115.5,188,207.5,185,149,81,133.5,15.5,,29.61840644,21.07723891,26.61766331,8.544003745
2,87,179,191,179,161,105,146,28,102.5,188.5,286.5,65.5,165.5,108,143.5,27,,18.17965896,148.332397,2.692582404,5.408326913
3,87,182,185,182,167,114,146,37,69.5,189,86,76.5,169.5,120.5,150.5,34.5,,18.84807682,144.676363,5.14781507,6.964194139
4,87,181,184,180,175,130,154,45,68,190,185.5,182.5,180.5,130.5,160,38,,21.02379604,2.915475947,9.219544457,5.522680509
5,90,176,188,176,180,132,157,43,103.5,186.5,184,184.5,184,137,157,41,,17.10263138,9.394147114,2,6.403124237
6,87,179,193,179,179,137,156,44,105,188.5,68,85.5,179.5,142,155.5,46.5,,20.35313244,156.1001281,2.549509757,5.024937811
7,89,183,191,154,168,53,168,53,70,190,200,184,181,146,164,52,,20.24845673,31.32091953,4.123105626,93.90420651
8,91,182,188,177,197,118,125,42,99.5,187.5,197,186.5,202,129.5,143.5,52.5,,10.12422837,13.08625233,21.27204739,12.5399362
9,95,180,191,177,200,82,100,71,94.5,187.5,202,183.5,200.5,99.5,95.5,59.5,,7.516648189,12.77693234,12.34908904,17.5071414
10,89,182,190,177,195,84,97,91,68.5,188,295.5,75,205,71.5,87.5,94.5,,21.36000936,146.745528,10.12422837,16.00781059
11,88,181,188,179,194,98,93,111,105.5,187,213.5,185,200,85.5,71,109,,18.5,26.19637379,22.09072203,13.86542462
12,85,184,192,172,195,109,90,119,81.5,190,256.5,58,184.5,93.5,94.5,124,,6.946221995,130.981869,6.726812024,18.72164523
13,90,182,193,178,193,120,89,133,81.5,189.5,200,183.5,215,131.5,69.5,125.5,,11.33578405,8.902246907,20.89258242,24.82438317
14,92,184,191,178,194,130,93,144,81,190,214,185,144.5,78,90,135,,12.52996409,24.04163056,9.486832981,71.79310552
15,90,183,194,178,196,132,87,143,81.5,190,199.5,184.5,213,130,130.5,148,,11.01135777,8.514693183,43.78641342,17.11724277
16,85,180,191,180,191,141,88,150,92,189.5,215,187,207.5,131.5,58,152.5,,11.80042372,25,30.10398645,19.03943276
17,88,185,186,176,188,145,89,145,82,189.5,177,183.5,189,127.5,66,153.5,,7.5,11.71537451,24.52039967,17.52854814
18,89,178,187,178,213,137,116,142,88.5,189.5,212,184.5,232,131,94.5,141.5,,11.51086443,25.83118271,21.50581317,19.92485885
19,89,178,186,178,210,138,109,147,70,189.5,214.5,183.5,225.5,129.5,110,143.5,,22.20923231,29.02585055,3.640054945,17.67766953
20,89,179,186,176,185,125,78,141,82.5,190,212.5,183,199,127.5,73,138.5,,12.77693234,27.40894015,5.590169944,14.22146265
21,87,181,192,180,179,130,77,143,82.5,190,218,186.5,194.5,118,73,136.5,,10.0623059,26.80018657,7.632168761,19.60229578
22,91,178,188,178,188,139,80,127,81,190,218,185.5,139,89,92,130,,15.62049935,30.92329219,12.36931688,70.00714249
23,84,177,187,177,181,148,86,111,94,188.5,176.5,187.5,144.5,84.5,85.5,112,,15.23975065,14.8492424,1.118033989,73.24274708
24,86,179,189,179,170,156,88,94,102,180,209.5,185.5,151.5,78,105,97,,16.03121954,21.50581317,17.2626765,80.16389462
25,88,180,192,179,166,151,98,68,103.5,188.5,287.5,73.5,185,145.5,123,73,,17.67766953,142.3042515,25.49509757,19.78004044
26,91,183,189,183,187,145,107,68,88,188,172.5,183.5,195,141,140.5,64.5,,5.830951895,16.50757402,33.68233959,8.94427191
27,88,183,189,177,195,82,90,102,104,188,199,184.5,209,89,123.5,107.5,,16.76305461,12.5,33.94849039,15.65247584
28,90,182,194,175,168,63,92,132,104,189,194,184.5,189,61.5,133.5,125.5,,15.65247584,9.5,42.00595196,21.05350327
29,90,185,190,180,151,37,103,125,72,186,211,185,146,52,121,124.5,,18.02775638,21.58703314,18.00694311,15.8113883
30,89,177,188,173,110,31,128,119,95,187,207.5,184.5,105,45,176.5,132.5,,11.66190379,22.63846285,50.34381789,14.86606875
31,91,183,192,182,152,111,147,120,72,187.5,206,184,110,36.5,183.5,111.5,,19.52562419,14.14213562,37.4766594,85.52338861
32,79,181,189,177,122,34,168,120,99,187.5,57,73,124.5,39.5,203.5,114,,21.02974084,168.0476123,36.00347205,6.041522987
33,88,182,188,175,71,45,169,91,98,188.5,250.5,62.5,88,53,190,98.5,,11.92686044,128.6953768,22.29910312,18.78829423
34,90,181,190,181,48,79,152,77,70,189.5,215.5,184.5,61,78.5,141.5,80,,21.73131381,25.73907535,10.92016483,13.00961183
35,89,180,193,179,38,115,143,84,95.5,188,57,76.5,48,119,155.5,92.5,,10.30776406,170.3004698,15.11621646,10.77032961
36,90,181,190,175,27,124,134,92,101,184,199,186.5,40,129,140.5,100.5,,11.40175425,14.60308187,10.70046728,13.92838828
37,88,179,193,178,25,127,123,92,92.5,184,209,183,44,132.5,145.5,100.5,,6.726812024,16.76305461,24.05202694,19.78004044
38,89,177,188,177,22,121,113,75,110.5,188.5,194.5,184,34.5,127,138,84.5,,24.38237068,9.552486587,26.74415824,13.86542462
39,88,180,187,176,25,128,119,88,102,189,240,54.5,44.5,133.5,97.5,102.5,,16.64331698,132.5565917,25.93260496,20.26079959
40,89,181,187,177,22,139,125,103,89,189.5,207.5,183.5,31,144.5,145.5,114,,8.5,21.50581317,23.26478025,10.54751155
41,87,181,194,175,25,144,124,107,82.5,187,200,183.5,33,146.5,154,121.5,,7.5,10.40432602,33.32041416,8.381527307
42,89,183,188,179,24,144,128,113,86.5,190,196,184.5,33.5,149,115,121.5,,7.433034374,9.708243919,15.53222457,10.73545528
43,88,181,188,176,22,144,127,111,86,189.5,303.5,76,35,149,146,120.5,,8.732124598,152.7751616,21.24264579,13.92838828
44,89,180,190,177,21,141,127,112,84.5,189.5,198.5,185.5,35,148,143,120,,10.51189802,12.02081528,17.88854382,15.65247584
45,88,181,190,177,22,135,123,105,95.5,188.5,196.5,185,47.5,144,101,116.5,,10.60660172,10.30776406,24.82438317,27.04163457
46,89,179,190,179,122,103,122,105,83.5,189,208,183,48.5,145,104.5,117,,11.41271221,18.43908891,21.21909517,84.65370636
47,82,180,188,172,24,138,122,104,92.5,188.5,185.5,183,32,145,146,118,,13.50925609,11.28051417,27.78488798,10.63014581
48,89,180,187,176,24,139,125,103,73,187.5,204,185,32,144.5,112.5,116.5,,17.67059705,19.23538406,18.39836949,9.708243919
49,91,180,127,113,127,114,126,114,100.5,189,56.5,86.5,21,147,153,115,,13.08625233,75.31600096,27.01851217,111.0180166

,,,,,,,,,,,,,,,,,mean,14.40207034,47.44132058,22.50734587,25.54059635
,,,,,,,,,,,,,,,,,stddev,5.535452114,54.99639229,22.98056814,26.66932692
